,StockCode,Volume
0,ADANIENT,0.45x
1,ADANIPORTS,0.79x
2,APOLLOHOSP,1.13x
3,ASIANPAINT,0.79x
4,AXISBANK,1.28x
5,BAJAJ-AUTO,0.97x
6,BAJFINANCE,0.4x
7,BAJAJFINSV,0.26x
8,BPCL,0.63x
9,BHARTIARTL,0.65x
10,BRITANNIA,0.59x
11,CIPLA,1.97x
12,COALINDIA,0.43x
13,DIVISLAB,1.52x
14,DRREDDY,1.58x
15,EICHERMOT,0.74x
16,GRASIM,0.35x
17,HCLTECH,1.06x
18,HDFCBANK,0.99x
19,HDFCLIFE,0.47x
20,HEROMOTOCO,0.81x
21,HINDALCO,0.62x
22,HINDUNILVR,1.0x
23,HDFC,0.69x
24,ICICIBANK,0.7x
25,ITC,0.68x
26,INDUSINDBK,0.71x
27,INFY,0.85x
28,JSWSTEEL,0.73x
29,KOTAKBANK,0.63x
30,LT,0.91x
31,M&M,0.9x
32,MARUTI,0.96x
33,NTPC,1.43x
34,NESTLEIND,0.77x
35,ONGC,0.54x
36,POWERGRID,0.67x
37,RELIANCE,0.47x
38,SBILIFE,0.7x
39,SBIN,1.24x
40,SUNPHARMA,0.9x
41,TCS,1.06x
42,TATACONSUM,1.18x
43,TATAMOTORS,1.17x
44,TATASTEEL,0.61x
45,TECHM,0.59x
46,TITAN,1.12x
47,UPL,0.85x
48,ULTRACEMCO,0.81x
49,WIPRO,0.61x
